Pada, Artha1, Parva, Sandhi_no, Padya1
ಅಜ್ಞಾತ, ತಿಳಿಯದ, ಉದ್ಯೋಗ ಪರ್ವ,4,66
ಅಟಮಟಿಸಿ, ಮೋಸಹೋಗಿ, ದ್ರೋಣ ಪರ್ವ,2,36
ಅಟವಿ, ಅರಣ್ಯ, ಆದಿ ಪರ್ವ,8,94
ಅಟವೀಚರರು, ಕಾಡಿನಲ್ಲಿ ಸಂಚರಿಸುವವರು , ಗದಾ ಪರ್ವ,4,48
ಅಟ್ಟಹಾಸ, ತುಂಟ ಗಟ್ಟಿಯಾದ ನಗು, ಆದಿ ಪರ್ವ,15,15
ಅಟ್ಟಿಆಡು, ಬೆನ್ನತ್ತಿಹೋಗು, ಉದ್ಯೋಗ ಪರ್ವ,3,104
ಅಟ್ಟು, ಓಡಿಸು., ಉದ್ಯೋಗ ಪರ್ವ,5,12
ಅಟ್ಟು, ಕಳುಹಿಸು, ಆದಿ ಪರ್ವ,8,86
ಅಟ್ಟೆ, ಮುಂಡ, ಭೀಷ್ಮ ಪರ್ವ,4,9
ಅಟ್ಟೆ, ರುಂಡವಿಲ್ಲದ ದೇಹ, ದ್ರೋಣ ಪರ್ವ,5,11
ಅಟ್ಟೆ, ದೇಹ, ಕರ್ಣ ಪರ್ವ,15,33
ಅಡ ಹಾಯ್ದ, ಅಡ್ಡವಾಗಿ ಬಂದನು., ದ್ರೋಣ ಪರ್ವ,3,60
ಅಡಕಿಲ, ಒಂದರ ಮೇಲೊಂದು, ದ್ರೋಣ ಪರ್ವ,1,47
ಅಡಕು, ಒಟ್ಟು, ಆದಿ ಪರ್ವ,10,24
ಅಡಗತುಳಿ, ಇಕ್ಕಿಮೆಟ್ಟು, ಭೀಷ್ಮ ಪರ್ವ,4,64
ಅಡಗಿ, ಅಡಕವಾಗಿ, ಆದಿ ಪರ್ವ,6,16
ಅಡಗಿತು, ಮುಚ್ಚಿಹೋಯಿತು, ಭೀಷ್ಮ ಪರ್ವ,6,10
ಅಡಗು, ಮರೆಯಾಗು , ಆದಿ ಪರ್ವ,8,24, , , ಶಮನವಾಗು , ಅದೃಶ್ಯವಾಗು , ವಿನಾಶವಾಗು, A4D5B6CBBA, , , , , , , 
ಅಡಗು, ಅವಿತುಕೊಳ್ಳು, ಗದಾ ಪರ್ವ,2,16
